photo_id,expedition,parent_identifier,img128
189646,189646,ACEH_2262,
205027,205027,BALI_1905,
593037,593037,BCURA_4049,
593038,593038,BCURA_4042,
593039,593039,BCURA_4027,
593040,593040,BCURA_4044,
593041,593041,BCURA_4054,
593042,593042,BCURA_4053,
593043,593043,BCURA_4035,
593044,593044,BCURA_4056,
593045,593045,BCURA_4031,
593046,593046,BCURA_4036,
593047,593047,BCURA_4031,
593048,593048,BCURA_4041,
593049,593049,BCURA_4048,
593050,593050,BCURA_4030,
593051,593051,BCURA_4028,
593052,593052,BCURA_4035,
593053,593053,BCURA_4033,
593054,593054,BCURA_4057,
593055,593055,BCURA_4049,
593056,593056,BCURA_4038,
593057,593057,BCURA_4062,
593058,593058,BCURA_4030,
593059,593059,BCURA_4027,
593060,593060,BCURA_4027,
593061,593061,BCURA_4044,
593062,593062,BCURA_4025,
593063,593063,BCURA_4040,
593064,593064,BCURA_4052,
593065,593065,BCURA_4044,
593066,593066,BCURA_4046,
593067,593067,BCURA_4054,
593068,593068,BCURA_4049,
593069,593069,BCURA_4039,
593070,593070,BCURA_4044,
593071,593071,BCURA_4025,
593072,593072,BCURA_4058,
593073,593073,BCURA_4050,
593074,593074,BCURA_4060,
593075,593075,BCURA_4051,
593076,593076,BCURA_4044,
593077,593077,BCURA_4026,
593078,593078,BCURA_4038,
593079,593079,BCURA_4027,
593080,593080,BCURA_4059,
593081,593081,BCURA_4054,
593082,593082,BCURA_4046,
593083,593083,BCURA_4027,
593084,593084,BCURA_4050,
593085,593085,BCURA_4056,
593086,593086,BCURA_4049,
593087,593087,BCURA_4045,
593088,593088,BCURA_4061,
593089,593089,BCURA_4036,
593090,593090,BCURA_4037,
593091,593091,BCURA_4045,
593092,593092,BCURA_4043,
593093,593093,BCURA_4033,
593094,593094,BCURA_4027,
593095,593095,BCURA_4029,
593096,593096,BCURA_4056,
593097,593097,BCURA_4052,
593098,593098,BCURA_4027,
593099,593099,BCURA_4042,
593100,593100,BCURA_4054,
593101,593101,BCURA_4044,
593102,593102,BCURA_4036,
593103,593103,BCURA_4031,
593104,593104,BCURA_4034,
593105,593105,BCURA_4034,
593106,593106,BCURA_4053,
593107,593107,BCURA_4026,
593108,593108,BCURA_4048,
593109,593109,BCURA_4043,
593110,593110,BCURA_4037,
593111,593111,BCURA_4034,
593112,593112,BCURA_4030,
593113,593113,BCURA_4028,
593114,593114,BCURA_4033,
593115,593115,BCURA_4035,
593116,593116,BCURA_4041,
593117,593117,BCURA_4040,
593118,593118,BCURA_4032,
593119,593119,BCURA_4049,
593120,593120,BCURA_4027,
593121,593121,BCURA_4042,
593122,593122,BCURA_4044,
593123,593123,BCURA_4052,
593124,593124,BCURA_4033,
593125,593125,BCURA_4028,
593126,593126,BCURA_4053,
593127,593127,BCURA_4044,
593128,593128,BCURA_4031,
593129,593129,BCURA_4026,
593130,593130,BCURA_4055,
593131,593131,BCURA_4059,
593132,593132,BCURA_4035,
593133,593133,BCURA_4028,
593134,593134,BCURA_4060,
593135,593135,BCURA_4046,
593136,593136,BCURA_4054,
593137,593137,BCURA_4039,
593138,593138,BCURA_4051,
593139,593139,BCURA_4057,
593140,593140,BCURA_4049,
593141,593141,BCURA_4038,
603425,603425,BCURA_3569,
603427,603427,BCURA_3577,
603428,603428,BCURA_3568,
603429,603429,BCURA_3577,
603430,603430,BCURA_3566,
603431,603431,BCURA_3561,
603432,603432,BCURA_3567,
603433,603433,BCURA_3565,
603434,603434,BCURA_3561,
603435,603435,BCURA_3573,
603436,603436,BCURA_3568,
603437,603437,BCURA_3561,
603438,603438,BCURA_3574,
603439,603439,BCURA_3565,
603440,603440,BCURA_3574,
603441,603441,BCURA_3567,
603442,603442,BCURA_3565,
603443,603443,BCURA_3568,
603444,603444,BCURA_3565,
603445,603445,BCURA_3566,
603446,603446,BCURA_3577,
603447,603447,BCURA_3565,
603448,603448,BCURA_3569,
603449,603449,BCURA_3573,
603450,603450,BCURA_3567,
